----- Starting tests for 200 objects.. -----
27844504
635183
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
    > (51682794 ,53102344) ,(56977411 ,58790664)
